fid,imageName,lat,lng,dataTime,remark,上傳者,標註者,驗證者,標籤,createdAt,updatedAt,原本有無設置人行空間,保護性,原始總寬度－是否夠寬讓輪椅通行,佔用情形(多選)-導致兩人交會需停讓或淨寬<1.5米,行人被迫實際行走路徑中會碰到的最大動態風險,承受上題風險的頻率,使用目的,思源地圖類別-無須填寫,思源地圖名稱-無須填寫,imageUrl,_id,rank_a1,rank_b1,rank_c1,COUNTYNAME,TOWNNAME,VILLNAME,村里全名,edu_Distance,hospital_Distance,near_edu,near_hospital
"11",00011.jpg,24.82116223,121.0248764,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/23,2022/10/23,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635504f74f042e7d59951441.jpg,635504f74f042e7d59951441,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,304.84677151554,9512.45711965244,"1","0"
"12",00012.jpg,24.82134779,121.0248653,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/23,2022/10/23,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|採購食物|採購日用|工作|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635505694f042e3bc8951442.jpg,635505694f042e3bc8951442,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,284.261711404637,9493.18340534437,"1","0"
"13",00013.jpg,24.82125833,121.0249639,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63564a544f042e8447951444.jpg,63564a544f042e8447951444,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,294.875174987363,9506.26596436782,"1","0"
"14",00014.jpg,24.8205244,121.0266923,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),親子活動|採購食物|通學|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635656b44f042e0fca951445.jpg,635656b44f042e0fca951445,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,425.464110178009,9651.86691329376,"1","0"
"15",00015.jpg,24.8211059,121.0250147,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),親子活動|採購食物|休閒|採購日用|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63565eaf4f042e7cc3951446.jpg,63565eaf4f042e7cc3951446,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,312.17089422432,9523.78971074508,"1","0"
"16",00016.jpg,24.82169724,121.0254367,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635675cb4f042e2a21951447.jpg,635675cb4f042e2a21951447,10,10,10,新竹縣,竹北市,十興里,新竹縣竹北市十興里,256.027469444773,9481.21559551938,"1","0"
"17",00017.jpg,24.82149678,121.0247555,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|休閒|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635676734f042e7bf5951448.jpg,635676734f042e7bf5951448,5.4,1.5,2,新竹縣,竹北市,十興里,新竹縣竹北市十興里,267.341677423341,9473.610007682,"1","0"
"18",00018.jpg,24.81897084,121.0250195,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,無人行道或騎樓,總是如此(100%~95%),親子活動|通學|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635678514f042e73b095144c.jpg,635678514f042e73b095144c,0,-10,0,新竹縣,竹北市,鹿場里,新竹縣竹北市鹿場里,548.017836539944,9740.95581546046,"0","0"
"19",00019.jpg,24.74762366,121.0835937,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022/10/24,2022/12/27,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63567bf14f042e03f895144d.jpg,63567bf14f042e03f895144d,10,10,10,新竹縣,竹東鎮,五豐里,新竹縣竹東鎮五豐里,221.271702926788,19477.572759807,"1","0"
"20",00020.jpg,24.74787096,121.0833886,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,無人行道或騎樓,常如此(79~50%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63567c634f042e11a395144e.jpg,63567c634f042e11a395144e,0,-10,0,新竹縣,竹東鎮,五豐里,新竹縣竹東鎮五豐里,255.478846386677,19443.4735719894,"1","0"
"21",00021.jpg,24.78081221,121.0593796,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/24,2022/10/24,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63568c4b4f042e23da951450.jpg,63568c4b4f042e23da951450,0,-10,0,新竹縣,竹東鎮,二重里,新竹縣竹東鎮二重里,1461.66100187016,15071.6635452141,"0","0"
"22",00022.jpg,24.83597242,121.0178375,2022/10/24,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定,2022/10/24,2022/12/27,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63568e124f042e3123951451.jpg,63568e124f042e3123951451,10,10,10,新竹縣,竹北市,竹仁里,新竹縣竹北市竹仁里,239.903703351081,7724.27398459288,"1","0"
"23",00023.jpg,24.73336496,121.0884547,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,總是如此(100%~95%),通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357432c4f042e15ff951453.jpg,6357432c4f042e15ff951453,2.6,-7,0,新竹縣,竹東鎮,南華里,新竹縣竹東鎮南華里,159.06946782994,21094.1746278852,"1","0"
"24",00024.jpg,24.73386991,121.0885417,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635743984f042e335e951454.jpg,635743984f042e335e951454,0,-10,0,新竹縣,竹東鎮,南華里,新竹縣竹東鎮南華里,125.564262232535,21049.5789170665,"1","0"
"25",00025.jpg,24.7347841,121.0885331,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定,2022/10/25,2022/12/27,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635744264f042eaeec951455.jpg,635744264f042eaeec951455,10,10,10,新竹縣,竹東鎮,南華里,新竹縣竹東鎮南華里,93.8823102545024,20960.7655191165,"1","0"
"26",00026.jpg,24.73589588,121.0886265,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635744bc4f042e90d5951456.jpg,635744bc4f042e90d5951456,0,-10,0,新竹縣,竹東鎮,東華里,新竹縣竹東鎮東華里,173.278779733534,20858.0750344345,"1","0"
"27",00027.jpg,24.73648349,121.0886213,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅無法通行（窄於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635745194f042e9b12951457.jpg,635745194f042e9b12951457,9,7.5,5,新竹縣,竹東鎮,東華里,新竹縣竹東鎮東華里,228.938595744779,20801.1685105374,"1","0"
"28",00028.jpg,24.73681545,121.088573,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),採購食物|親子活動|通學|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635745684f042ee5bd951458.jpg,635745684f042ee5bd951458,6.4,4,4,新竹縣,竹東鎮,東華里,新竹縣竹東鎮東華里,260.577412708127,20766.7751931684,"1","0"
"29",00029.jpg,24.73724951,121.0880526,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|就醫、照護|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635745c34f042ecbeb951459.jpg,635745c34f042ecbeb951459,10,10,10,新竹縣,竹東鎮,商華里,新竹縣竹東鎮商華里,293.463537323669,20698.9821822898,"1","0"
"30",00030.jpg,24.73800287,121.0873334,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357465d4f042edd6095145a.jpg,6357465d4f042edd6095145a,4,0,0,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,347.486968830481,20590.5263944506,"1","0"
"31",00031.jpg,24.73851747,121.0868461,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,有汽車行駛,總是如此(100%~95%),親子活動|就醫、照護|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357468c4f042ed83995145b.jpg,6357468c4f042ed83995145b,4,0,0,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,345.42910586588,20516.6541752857,"1","0"
"32",00032.jpg,24.73910355,121.0865271,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|採購食物|採購日用|休閒|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635746f74f042e6b9595145c.jpg,635746f74f042e6b9595145c,10,10,10,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,316.9680030088,20444.2554606028,"1","0"
"33",00033.jpg,24.73974705,121.0858839,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|休閒|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357477e4f042e405895145d.jpg,6357477e4f042e405895145d,10,10,10,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,221.134623107346,20350.2120337561,"1","0"
"34",00034.jpg,24.73994827,121.0856449,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|休閒|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635747bc4f042eaa3795145e.jpg,635747bc4f042eaa3795145e,10,10,10,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,189.250607150771,20318.9318474879,"1","0"
"35",00035.jpg,24.74032822,121.0855584,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有機車行駛,總是如此(100%~95%),採購食物|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635748054f042e45d495145f.jpg,635748054f042e45d495145f,5,-3,1.6,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,149.660790415031,20277.9614706523,"1","0"
"36",00036.jpg,24.74052037,121.0854415,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,有機車行駛,總是如此(100%~95%),通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357484d4f042e380e951460.jpg,6357484d4f042e380e951460,5,-3,2,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,125.64135439969,20253.6129775531,"1","0"
"37",00037.jpg,24.74085943,121.0853192,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022/10/25,2022/12/27,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（臨時停車）,有機車行駛,總是如此(100%~95%),休閒|親子活動|通學|就醫、照護,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357488c4f042e02cb951461.jpg,6357488c4f042e02cb951461,5.2,-2,1.6,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,89.8949567339592,20214.8181686764,"1","0"
"38",00038.jpg,24.7413043,121.0851567,2022/10/25,"私立學校在上下學時段作為家長車輛接送學生通行車道。
行人必須走馬路的車道",6220a7e810be1548e5c8d09a_中梅 韓,63ab84af4ee1ac35386327d1_安全 熊,,,2022/10/25,2022/12/29,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,私人佔用（臨時停車）,有汽車行駛,有時如此(49~30%),親子活動|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357493d4f042ed2d8951462.jpg,6357493d4f042ed2d8951462,2.8,-6,0,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,51.908544624079,20163.8200447886,"1","0"
"39",00039.jpg,24.74146748,121.0852076,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),親子活動|採購日用|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357499f4f042e392d951463.jpg,6357499f4f042e392d951463,8.6,3,5,新竹縣,竹東鎮,榮華里,新竹縣竹東鎮榮華里,56.5613962393505,20150.6122925963,"1","0"
"40",00040.jpg,24.74122674,121.0855623,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定|嚴重風險,2022/10/25,2022/12/27,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),親子活動|休閒|其他|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635749e74f042eb2f2951464.jpg,635749e74f042eb2f2951464,2.6,-7,0,新竹縣,竹東鎮,榮華里,新竹縣竹東鎮榮華里,93.8285209118168,20191.4893730066,"1","0"
"41",00041.jpg,24.7408852,121.0860646,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022/10/25,2022/12/27,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63574a434f042e71d9951465.jpg,63574a434f042e71d9951465,8.6,3,5,新竹縣,竹東鎮,榮華里,新竹縣竹東鎮榮華里,153.579742656697,20249.4640276803,"1","0"
"42",00042.jpg,24.74058371,121.0861933,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,6220a7e810be1548e5c8d09a_中梅 韓,,符合規定,2022/10/25,2022/11/02,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（臨時停車）,無車輛行駛,總是如此(100%~95%),採購食物|採購日用|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63574a904f042e7fd1951466.jpg,63574a904f042e7fd1951466,8.8,4,4,新竹縣,竹東鎮,榮華里,新竹縣竹東鎮榮華里,179.93510547456,20284.933516836,"1","0"
"43",00043.jpg,24.74001429,121.0865653,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,63b29f74181b962669dffd90_Amber Chen,,,2022/10/25,2023/01/03,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,有汽車行駛,總是如此(100%~95%),親子活動|採購食物|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63574af14f042e2611951467.jpg,63574af14f042e2611951467,2.6,-7,0,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,246.701255808962,20358.3636292097,"1","0"
"44",00044.jpg,24.7396543,121.0869731,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/25,2022/10/25,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),採購食物|通學|就醫、照護,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63574b364f042e7565951468.jpg,63574b364f042e7565951468,8.6,3,5,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,257.699857936034,20413.4140609824,"1","0"
"45",00045.jpg,24.73896731,121.0874124,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022/10/25,2022/12/27,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,有機車行駛,總是如此(100%~95%),其他|通學|就醫、照護,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63574bba4f042e0bb9951469.jpg,63574bba4f042e0bb9951469,5,-3,2,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,269.900491087944,20501.5317568208,"1","0"
"46",00046.jpg,24.73876726,121.0876126,2022/10/25,,6220a7e810be1548e5c8d09a_中梅 韓,60e34449b652fe824b444847_哲瑋 劉,63a8fd9b4ee1aca5f6632785_阿軒,符合規定,2022/10/25,2022/12/27,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）,無車輛行駛,總是如此(100%~95%),採購食物|親子活動|就醫、照護|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63574bff4f042e41c295146a.jpg,63574bff4f042e41c295146a,8.6,3,5,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,274.271321872575,20530.8075771066,"1","0"
